,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,AC ,3,7,10,3,15777,10000,147,68.02721088435374,10276.891991258835,1,3,2400,1650.0,0,0,0
1,AC ,5,10,15,5,41710,10500,200,52.5,16405.30706814109,1,5,10500,27200.0,0,0,0
2,ACN,4,6,10,4,13911,5200,100,52.0,6437.3069679797,1,1,600,1425.0,0,0,0
3,ACN,8,7,15,7,27071,7200,100,72.0,10526.611088094782,2,1,500,3312.5,2850.0,2850.0,2850.0
4,ACS,5,5,10,5,5350,1300,150,8.666666666666666,2093.4421415458323,1,2,1300,0.0,0,0,0
5,ACS,8,7,15,7,9550,1700,200,8.5,3064.718584144391,2,4,2700,537.5,375.0,375.0,375.0
6,ADU,8,2,10,2,72150,19000,450,42.22222222222222,33572.19831944283,0,0,0,0.0,0,0,0
7,ADU,11,4,15,4,101095,26500,500,53.0,35594.71906055728,2,2,15000,1093.6999999999998,0,0,0
8,AL ,4,6,10,4,126600,56000,100,560.0,64986.61400627055,3,1,21500,37375.0,4875.0,2062.5,4875.0
9,AL ,11,4,15,4,148500,25000,400,62.5,46983.72058490047,4,2,20000,26250.0,20000.0,18862.5,22500.0
10,ALL,4,6,10,4,29593,11000,1000,11.0,13059.787479128441,3,4,8600,1734.875,250.0,250.0,250.0
11,ALL,10,5,15,5,52900,7000,700,10.0,15193.090534845107,1,3,5000,562.5,0,0,0
12,ALX,7,3,10,3,9800,3000,100,30.0,4521.061822182926,5,1,3000,2637.5,0,0,0
13,ALX,11,4,15,4,12400,2000,100,20.0,3802.630668366309,2,3,1900,3050.0,0,0,0
14,AMD,6,4,10,4,59900,25000,400,62.5,29587.32836874597,3,1,2500,1437.5,0,0,0
15,AMD,9,6,15,6,122025,85000,125,680.0,86318.28094326254,2,3,4000,6725.0,262.5,450.0,675.0
16,AMN,3,7,10,3,14844,3000,944,3.1779661016949152,5112.840306522393,2,4,3600,8870.5,7550.5,5550.5,7550.5
17,AMN,7,8,15,7,19488,3000,200,15.0,5831.146713983451,3,4,3888,8798.0,5904.5,3059.0,6866.0
18,AMO,6,4,10,4,52514,11000,114,96.49122807017544,19582.977199598634,0,0,0,0.0,0,0,0
19,AMO,8,7,15,7,115000,20000,1000,20.0,34899.8567332303,4,5,38000,16187.5,1125.0,875.0,1125.0
20,AR ,3,7,10,3,82600,10000,5000,2.0,26784.323773431355,2,2,11200,29775.0,27225.0,22125.0,29775.0
21,AR ,7,8,15,7,69800,20000,100,200.0,27499.090894064117,2,2,3200,3175.0,1650.0,1762.5,1800.0
22,ARX,6,4,10,4,38100,10000,1000,10.0,14981.65544924859,4,1,8200,375.0,0,0,0
23,ARX,6,9,15,6,29500,5300,500,10.6,9943.339479269527,0,0,0,0.0,0,0,0
24,ATE,4,6,10,4,19200,3000,900,3.3333333333333335,6448.255578061403,2,1,2000,675.0,0,0,0
25,ATE,7,8,15,7,34500,4700,300,15.666666666666666,10642.837967384452,5,3,8100,4562.5,1725.0,1362.5,2225.0
26,AYD,4,6,10,4,13664,3300,400,8.25,5100.51918925907,1,1,400,1200.0,0,0,0
27,AYD,8,7,15,7,26500,4800,100,48.0,8487.048957087498,5,4,7900,24887.5,9950.0,1100.0,11225.0
28,BA ,4,6,10,4,23575,10000,100,100.0,11597.656013177835,2,1,1500,1625.0,0,0,0
29,BA ,6,9,15,6,52150,10000,100,100.0,19843.701771594937,2,3,3150,8418.75,4687.5,4687.5,7437.5
30,BG ,4,6,10,4,20078,6800,178,38.20224719101124,9054.37374974106,3,1,5300,3762.5,0,0,0
31,BG ,6,9,15,6,29694,5900,100,59.0,10589.921435024908,4,2,3900,3750.0,562.5,412.5,562.5
32,BMC,5,5,10,5,12600,3000,300,10.0,4737.087712930805,3,1,3000,1000.0,0,0,0
33,BMC,7,8,15,7,27100,6200,100,62.0,10293.201639917484,5,1,5000,1312.5,375.0,375.0,375.0
34,BRT,8,2,10,2,48478,13900,1000,13.9,20017.4944486067,2,1,1578,375.0,0,0,0
35,BRT,14,1,15,1,95500,19200,700,27.428571428571427,35864.04885118243,0,0,0,0.0,0,0,0
36,BZF,5,5,10,5,35900,15000,200,75.0,18863.456735179796,0,0,0,0.0,0,0,0
37,BZF,10,5,15,5,72500,35000,100,350.0,38378.50961150003,1,4,20700,4187.5,0,0,0
38,CAL,9,1,10,1,39800,18500,200,92.5,21823.840175367855,1,1,2500,312.5,0,0,0
39,CAL,11,4,15,4,35825,10700,125,85.6,14727.037210518618,5,1,6625,2906.25,0,0,0
40,CL ,5,5,10,5,30300,10000,200,50.0,12807.419724519064,3,1,5000,18437.5,0,0,0
41,CL ,11,4,15,4,34100,10000,300,33.333333333333336,12995.76854210631,3,3,4100,18925.0,16262.5,16262.5,16262.5
42,CLE,5,5,10,5,21800,6500,300,21.666666666666668,9318.798205777395,2,2,3000,6875.0,0,0,0
43,CLE,9,6,15,6,39600,10300,200,51.5,14224.626532883034,5,3,8500,22425.0,6587.5,1487.5,6587.5
44,CLF,8,2,10,2,23800,5000,500,10.0,9382.96328459192,5,1,4700,29375.0,0,0,0
45,CLF,5,10,15,5,35100,5000,100,50.0,10943.948099292138,3,5,5500,9525.0,6475.0,5950.0,6550.0
46,CMH,5,5,10,5,46500,15000,1000,15.0,19298.963702748395,2,1,7000,4575.0,0,0,0
47,CMH,4,11,15,4,83843,23300,100,233.0,30402.85409299594,3,1,6250,5818.75,0,0,0
48,CMI,6,4,10,4,19800,6500,100,65.0,8905.054744357274,6,1,4300,10375.0,6250.0,3500.0,6250.0
49,CMI,8,7,15,7,36100,9000,100,90.0,13088.544609695915,4,5,12300,26837.5,0,0,0
50,CMY,6,4,10,4,39850,10000,1000,10.0,16422.62159339976,3,3,11800,19550.0,0,0,0
51,CMY,9,6,15,6,55225,10000,100,100.0,19222.138928849723,1,6,4225,15200.0,7125.0,7125.0,7125.0
