,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,IBM,4,6,10,4,172213,78500,100,785.0,111803.86115425531,4,13,4000,833.3333333331975,0,0,0
1,IBM,6,14,20,6,97065,78500,100,785.0,78762.12366994684,9,7,8500,5934.182590233395,0,0,0
2,IBM,4,26,30,4,22909,3400,100,34.0,6715.662513855204,0,0,0,1.3278622645884752e-10,0,0,0
3,IBM,5,35,40,5,199018,98678,100,986.78,126235.21625125059,22,21,27300,37391.08280254761,0,0,0
4,IBM,5,45,50,5,46339,13213,100,132.13,15147.22737005027,0,0,0,2.837623469531536e-10,0,0,0
5,IBM,21,39,60,21,270857,98678,100,986.78,141789.27303220084,0,0,0,-6.075424607843161e-10,0,0,0
6,IBM,14,56,70,14,337806,98678,100,986.78,161049.30463680992,24,26,36000,42760.084925690666,0,0,0
7,IBM,15,65,80,15,418181,98678,100,986.78,188328.7437567617,26,30,39000,46825.902335455175,0,0,0
8,IBM,26,64,90,26,253824,98678,100,986.78,127095.46912459153,22,21,27300,37391.08280254761,0,0,0
9,IBM,20,80,100,20,421147,98678,100,986.78,179041.7558141117,44,40,54600,74782.16560509149,11687.898089172031,711.2526539278533,11698.513800424684
10,IBM,27,83,110,27,184249,78500,100,785.0,82003.97911686968,11,39,10530,7163.481953290757,0,0,0
11,IBM,24,96,120,24,444229,98678,100,986.78,169796.78563800905,39,34,47400,72310.82802547142,70816.77282377932,70689.3842887482,70816.77282377932
12,IBM,31,99,130,31,298540,98678,100,986.78,141569.2803965606,0,0,0,1.255102688446641e-09,0,0,0
13,IBM,41,99,140,41,513088,98678,100,986.78,190094.73322530533,26,30,39000,46825.90233545704,0,0,0
14,IBM,32,118,150,32,230427,78500,100,785.0,83987.76378139853,12,42,14500,7860.934182591038,0,0,0
15,IBM,37,123,160,37,365041,78500,100,785.0,138379.27364674234,27,59,25500,15425.265392781701,11078.768577494753,7819.745222929775,11951.592356687932
16,IBM,32,138,170,32,414088,98678,100,986.78,151831.75439940093,34,29,41374,56870.48832271574,55440.33970276026,55440.33970276026,55440.33970276026
17,IBM,39,141,180,39,632457,98678,100,986.78,206118.12569737772,44,40,54600,81210.19108279608,0,0,0
18,IBM,39,151,190,39,638308,98678,100,986.78,206250.80552569972,44,40,54600,81210.19108280167,0,0,0
19,IBM,41,159,200,41,557596,98678,100,986.78,199484.9672882646,0,0,0,1.95359461940825e-09,0,0,0
20,IBM,45,165,210,45,911314,98678,100,986.78,261044.6125894959,68,65,90000,124033.97027601488,110721.86836518077,103237.7919320605,114097.66454352473
21,IBM,47,173,220,47,951108,98678,100,986.78,265512.9796902592,110,98,136500,175741.82590231672,130785.13800424687,117914.22505307886,155359.66029724048
22,IBM,50,180,230,50,527893,98678,100,986.78,170485.63003080347,39,34,47400,72310.828025477,0,0,0
23,IBM,50,190,240,50,633858,98678,100,986.78,200349.66132739032,0,0,0,1.95359461940825e-09,0,0,0
24,IBM,49,201,250,49,1295804,98678,100,986.78,316039.1858583362,110,100,136500,199946.92144373432,194331.21019108317,183545.64755838708,194373.67303609377
