,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,IBM,1,9,10,1,4853,2900,100,29.0,3087.5733189675025,0,0,0,-2.9103830456733704e-11,0,0,0
1,IBM,3,17,20,3,16160,3430,100,34.3,6092.60207136491,1,2,1500,1422.5053078555502,0,0,0
2,IBM,7,23,30,7,37628,10000,100,100.0,12907.216353652711,1,2,2000,2229.2993630571873,1910.8280254777198,1910.8280254777198,1910.8280254777198
3,IBM,6,34,40,6,38893,5000,100,50.0,10505.246451178573,2,4,6000,3036.093418258941,2441.6135881104137,2441.6135881104137,2441.6135881104137
4,IBM,13,37,50,13,56411,10000,100,100.0,14141.375216010641,4,6,5000,8683.651804670924,1910.828025477727,1528.6624203821448,2484.0764331210266
5,IBM,17,43,60,17,44440,3430,100,34.3,8834.84600884475,3,4,4000,5138.004246284254,3099.7876857749475,3227.176220806735,4288.747346072171
6,IBM,16,54,70,16,48503,3000,100,30.0,8843.439998100286,6,7,8000,11817.834394904552,7112.52653927815,5147.346072186784,8004.246284501084
7,IBM,23,57,80,23,62758,10000,100,100.0,13875.946454206285,5,5,7300,10721.868365181144,2016.9851380042446,1804.6709129511646,2016.9851380042446
8,IBM,19,71,90,19,67912,5000,100,50.0,11309.811581100721,8,10,11800,14759.660297240363,11694.267515923566,10006.36942675163,13509.554140127431
9,IBM,25,75,100,25,101665,10000,100,100.0,20010.32251114409,6,7,7000,11922.717622080585,2929.9363057324827,1178.3439490446035,3673.03609341829
10,IBM,22,88,110,22,94089,10000,100,100.0,16841.84678115794,9,9,12800,14394.904458598932,12929.936305732535,12059.447983014852,13757.961783439543
11,IBM,28,92,120,28,116259,10000,100,100.0,20837.58769627617,6,6,6300,11337.579617834184,743.0997876857958,966.0297239914987,2186.8365180467126
12,IBM,33,97,130,33,100091,10000,100,100.0,16544.847022562644,9,7,12100,16624.203821656294,12781.316348195396,10955.41401273892,14777.07006369436
13,IBM,24,116,140,24,126195,3500,100,35.0,16129.412171557897,8,7,11400,13970.27600849187,8428.874734607249,9023.35456475583,12547.770700636973
14,IBM,49,101,150,49,123650,10000,100,100.0,18695.261217752482,19,19,24100,35652.016985139344,31103.50318471343,31018.046709129612,35139.70276008504
15,IBM,44,116,160,44,141641,10000,100,100.0,21547.41262889816,11,10,13500,16805.944798301207,13815.711252654046,10733.333333333425,14783.439490445955
16,IBM,51,119,170,51,145589,10000,100,100.0,21321.806138317646,12,13,14099,14853.503184714122,10193.205944798332,10504.033970276181,13515.923566879077
17,IBM,44,136,180,44,143048,10000,100,100.0,19053.89162349781,10,6,11800,17462.84501061635,8811.040339702815,5201.698513800391,9235.66878980897
18,IBM,46,144,190,46,171398,10000,100,100.0,22266.968451048742,17,11,17975,23832.27176220785,11040.339702760122,5838.641188959562,11571.125265392853
19,IBM,48,152,200,48,146534,5000,100,50.0,17639.689282977746,16,18,21600,22866.242038216908,20318.471337579616,17282.37791932065,21125.265392781315
20,IBM,48,162,210,48,165097,10000,100,100.0,19667.26348529454,15,12,20300,32908.70488322829,25467.09129511678,18025.477707006314,27165.605095541425
21,IBM,62,158,220,62,177990,5000,100,50.0,19598.226603445528,20,16,24800,21212.738853504416,9225.053078556244,6592.356687897985,11050.955414012722
22,IBM,52,178,230,52,212732,10000,100,100.0,26561.831977482278,13,16,19100,22324.840764330234,17590.233545647607,14426.751592356672,20350.318471337614
23,IBM,67,173,240,67,203587,10000,100,100.0,22611.70128495421,22,21,24300,28380.891719745938,17030.148619957592,13481.953290870366,23163.48195329104
24,IBM,60,190,250,60,210847,10000,100,100.0,23796.061375782338,15,12,21800,27314.225053080358,25679.405520169985,23227.176220806876,26709.129511677398
25,IBM,54,206,260,54,196262,10000,100,100.0,21608.622075458676,15,14,18500,24808.917197451694,6782.165605095575,4946.921443736744,9660.297239915086
26,IBM,72,198,270,72,233528,10000,100,100.0,27010.645679065135,21,21,25300,28271.762208069675,26772.823779193306,24791.082802548037,27584.713375796353
27,IBM,86,194,280,86,240497,10000,100,100.0,25507.13459014948,29,24,34000,43176.22080679564,32584.28874734605,34273.88535031891,40253.07855626343
28,IBM,54,236,290,54,216972,10000,100,100.0,22095.933064706725,17,19,20600,33641.18895966024,28099.78768577501,27091.29511677324,31677.282377919415
29,IBM,65,235,300,65,257003,10000,100,100.0,28058.975266392037,18,17,20900,30042.46284501138,28110.40339702765,24097.664543524566,29150.743099787724
30,IBM,74,236,310,74,260354,10000,100,100.0,25444.37729636943,15,17,19000,30265.39278131514,13280.254777070144,11740.976645435392,18067.940552017095
31,IBM,84,236,320,84,237260,5000,100,50.0,22229.0072652829,26,27,32000,37300.636942673475,26612.314225053182,25862.420382165987,34222.08067940572
32,IBM,94,236,330,94,289311,10000,100,100.0,25713.53295445805,32,25,37400,58471.337579616345,55042.46284501077,45031.84713375826,57133.7579617836
33,IBM,92,248,340,92,278117,10000,100,100.0,25295.56939465882,33,30,41800,47566.02972399257,40253.92781316366,38189.8089171983,44671.76220806813
34,IBM,89,261,350,89,325049,10000,100,100.0,33782.001080457034,26,19,31800,45987.26114649605,40966.02972399173,32908.70488322707,43142.25053078577
35,IBM,92,268,360,92,331912,10000,100,100.0,30468.892661204478,32,28,41900,47885.35031847004,25301.061571125287,19469.21443736727,34490.445859872685
36,IBM,96,274,370,96,287610,10000,100,100.0,29420.42667943482,28,24,32100,42476.00849256851,22961.78343949051,16666.6666666667,30233.54564755853
37,IBM,96,284,380,96,292368,10000,100,100.0,26141.814933167894,25,23,32500,50074.30997876823,43574.94692144389,38067.94055201616,47558.386411889696
38,IBM,114,276,390,114,317199,10000,100,100.0,26810.24384447109,35,33,45000,60692.56900212355,53943.099787686035,46258.17409766537,58213.58811040364
39,IBM,106,294,400,106,342407,10000,100,100.0,31629.455275107095,23,25,27600,40878.13163482025,34028.02547770715,23891.71974522348,37085.35031847152
40,IBM,108,302,410,108,322707,10000,100,100.0,28810.534791981907,36,37,46037,48912.95116772875,36508.70488322724,34911.677282378514,45075.58386411909
41,IBM,108,312,420,108,355274,10000,100,100.0,32407.199909896564,33,28,40900,57881.953290871345,46512.95116772839,31809.76645435224,51029.72399150761
42,IBM,99,331,430,99,342817,5000,100,50.0,26440.294117123583,24,24,31300,45095.54140127497,33545.64755838646,25562.632696390756,37940.552016985195
43,IBM,115,325,440,115,310391,5000,100,50.0,24118.205219294407,21,25,28400,34320.59447983233,30148.619957537278,24352.441613588195,32558.386411889736
44,IBM,112,338,450,112,338914,5000,100,50.0,25606.912426139937,38,31,46300,60143.09978768602,34692.14437367318,26380.042462845013,46932.05944798315
45,IBM,119,341,460,119,382226,10000,100,100.0,31389.099126926212,34,30,39000,51690.02123142639,29182.590233545678,18099.787685774787,32845.01061571129
46,IBM,104,366,470,104,383389,10000,100,100.0,31432.18110472132,28,32,43000,54332.05944798235,48151.59235668793,44407.64331210191,53193.20594479827
47,IBM,124,356,480,124,396064,10000,100,100.0,33527.701621196764,46,38,52500,81117.19745222479,54583.439490446195,34766.45435244161,67038.21656050983
48,IBM,128,362,490,128,466594,10000,100,100.0,39580.584204885105,35,32,41300,52767.728237793315,25541.40127388548,15944.798301486471,34925.6900212316
49,IBM,129,371,500,129,450365,10000,100,100.0,35767.47244354848,38,32,45400,70562.63269639108,52980.46709129529,36157.112526539626,58418.259023354796
50,IBM,117,393,510,117,402376,10000,100,100.0,31066.49297877055,33,29,42300,60573.24840764329,46401.273885350325,36868.36518046642,54118.895966029755
51,IBM,130,390,520,130,435523,10000,100,100.0,35352.01455362905,38,39,45200,57679.8301486196,38189.80891719756,27176.220806793906,46348.19532908722
52,IBM,135,395,530,135,401617,10000,100,100.0,30356.28905185876,40,32,48000,73651.80467090849,30220.38216560526,18481.95329087069,40148.61995753739
53,IBM,126,414,540,126,461516,10000,100,100.0,37011.289791089424,38,32,46600,64309.97876857873,43092.14437367322,33959.66029724019,54161.35881104053
54,IBM,145,405,550,145,486159,10000,100,100.0,36236.6573927563,47,44,63800,85947.34607217833,62208.06794055212,48598.72611464915,71889.59660297248
55,IBM,145,415,560,145,450782,10000,100,100.0,31194.19753736262,53,51,67400,84154.98938428517,80884.50106157131,63729.936305732954,82535.4564755841
56,IBM,143,427,570,143,494154,10000,100,100.0,35409.9585710009,53,49,68200,86222.92993630376,75556.68789808931,64851.80467091313,82872.61146496845
57,IBM,146,434,580,146,482640,10000,100,100.0,35108.29018907073,49,40,55600,78181.74097664002,35098.19532908719,23174.09766454357,45700.636942675395
58,IBM,147,443,590,147,493560,10000,100,100.0,35171.324257127424,48,49,62300,74824.62845010124,35031.84713375801,21783.439490445788,45318.47133757969
59,IBM,150,450,600,150,516713,10000,100,100.0,37999.632300852594,47,42,59100,79253.92781316116,45204.670912951326,30106.15711252652,60116.77282377938
60,IBM,152,458,610,152,452951,10000,100,100.0,34183.66149200521,39,37,47800,57271.76220806595,14522.292993630652,9278.131634819521,25679.405520169967
61,IBM,166,454,620,166,548502,10000,100,100.0,41975.738564080086,55,51,66100,86678.98089171387,62439.91507431028,40622.50530785572,74913.80042462889
62,IBM,155,475,630,155,560794,10000,100,100.0,39908.59120540338,45,39,57800,78294.69214437157,63673.46072186859,51030.99787685772,71842.88747346101
63,IBM,160,480,640,160,480694,10000,100,100.0,33198.333271415904,52,43,61600,82836.51804670598,66225.47770700676,57840.339702760975,78107.43099787734
64,IBM,147,503,650,147,504362,10000,100,100.0,36046.32688638331,46,44,57500,84248.83227176033,75503.1847133764,57125.69002123177,80161.3588110409
65,IBM,181,479,660,181,568837,10000,100,100.0,40423.993456856784,62,54,79700,102632.69639064744,92057.32484076457,76487.89808917306,97664.11889596643
66,IBM,159,511,670,159,577473,10000,100,100.0,41440.55792336778,57,57,74800,89416.1358810952,66275.5838641192,59766.02972399234,80428.87473460757
67,IBM,168,512,680,168,536732,10000,100,100.0,36717.70924227164,39,34,51900,66029.72399151232,56454.35244161378,39978.76857749488,61316.348195329294
68,IBM,181,509,690,181,577572,10000,100,100.0,40815.0242680315,48,37,58100,83545.64755838085,54329.936305732655,41380.04246284487,69490.44585987282
69,IBM,175,525,700,175,554781,10000,100,100.0,36421.92376852162,49,50,63600,74144.79830147605,59753.29087048857,55839.06581741052,69019.95753715538
70,IBM,177,533,710,177,607872,10000,100,100.0,41534.48249346559,57,42,71600,103431.42250530329,75897.2399150746,51542.250530785845,88312.10191082829
71,IBM,176,544,720,176,606364,10000,100,100.0,39449.60620842748,50,47,62000,80670.91295116302,74237.36730360973,66311.25265392878,78551.5923566884
72,IBM,179,551,730,179,577840,10000,100,100.0,36094.771643549706,53,43,63500,97738.8535031816,72868.78980891767,50562.63269639044,86422.50530785597
73,IBM,186,554,740,186,661913,10000,100,100.0,44159.05192596417,51,45,61100,85891.71974521503,65721.86836518056,52738.85350318403,76135.88110403411
74,IBM,185,565,750,185,673174,10000,100,100.0,45253.45414440759,62,55,73900,91593.20594478771,61929.93630573276,50991.08280254822,78016.56050955452
75,IBM,176,584,760,176,597184,10000,100,100.0,41908.422518629835,58,51,68900,95040.76433120575,75918.47133757995,68296.39065817324,86528.66242038255
76,IBM,188,582,770,188,605396,10000,100,100.0,40385.0408691139,59,48,77000,92916.34819532093,65735.88110403415,51955.83864118926,80163.90658174112
77,IBM,202,578,780,202,631535,10000,100,100.0,38546.21354945256,69,56,87900,106684.50106156059,90173.24840764364,71016.13588110477,97078.55626327007
78,IBM,206,584,790,206,660763,10000,100,100.0,43535.570824327086,58,48,67100,84777.07006369345,42120.5944798304,28566.87898089211,56825.9023354567
79,IBM,198,602,800,198,666666,10000,100,100.0,42472.22918566907,56,44,65700,92133.75796177518,81040.33970276034,57261.14649681434,87144.37367303639
80,IBM,177,633,810,177,672406,10000,100,100.0,44496.57598063024,67,60,82700,109794.05520168878,75145.64755838667,43460.721868365166,88428.87473460753
81,IBM,224,596,820,224,664559,10000,100,100.0,41970.81294185282,71,61,89300,121735.03184712864,89174.52229299425,59208.067940552304,107265.81740976703
82,IBM,207,623,830,207,614804,10000,100,100.0,36682.06117436696,72,63,86900,103118.89596602507,89394.90445859898,73828.45010615682,96072.18683651846
83,IBM,197,643,840,197,644126,10000,100,100.0,39058.02066157475,59,50,74400,106197.8768577436,87219.10828025517,69182.59023354517,94501.06157112561
84,IBM,205,645,850,205,725259,10000,100,100.0,43533.53232853957,68,57,83000,116328.23779192567,84479.83014862039,63949.04458598555,98301.48619957588
85,IBM,213,647,860,213,674845,10000,100,100.0,41634.65029275495,61,55,75800,97335.03184712958,63328.66242038213,42165.60509554078,77494.69214437372
86,IBM,226,644,870,226,711223,10000,100,100.0,43297.95756152939,71,67,89600,119601.6985137891,96380.04246284545,85687.47346072108,107834.39490445914
87,IBM,236,644,880,236,708348,10000,100,100.0,39730.96600889538,71,70,87600,119246.28450105526,101560.50955414058,84984.28874734417,112611.46496815336
88,IBM,219,671,890,219,700865,10000,100,100.0,41312.74775417389,71,59,85900,119061.57112525217,95969.00212314268,85127.38853503035,109617.83439490486
89,IBM,253,647,900,253,784248,10000,100,100.0,46854.131536076944,75,66,89800,124360.08492568135,81666.66666666677,57653.927813163,100891.71974522326
90,IBM,229,681,910,229,770324,10000,100,100.0,44993.31216969917,64,59,81300,102416.13588109706,77217.40976645456,59011.46496815184,88205.94479830169
91,IBM,240,680,920,240,746519,10000,100,100.0,45597.552335624336,77,70,92000,115386.41188958101,90860.72186836554,86460.72186836548,109463.2696390663
92,IBM,230,700,930,230,646913,5000,100,50.0,34436.46127290085,59,65,71300,90794.47983014211,55010.61571125292,42441.61358810896,70435.24416135921
93,IBM,225,715,940,225,704048,10000,100,100.0,39751.742100189775,60,62,78600,98205.52016983833,79322.71762208125,76385.13800424623,92461.99575371615
94,IBM,247,703,950,247,771148,10000,100,100.0,41579.95173157372,81,74,105900,138268.78980890475,128666.24203821695,115115.92356688158,135541.4012738859
95,IBM,254,706,960,254,804614,10000,100,100.0,46658.45661828089,65,52,79400,107898.0891719684,75997.87685774975,69968.152866243,91125.2653927817
96,IBM,238,732,970,238,902007,10000,100,100.0,54489.47291908778,76,74,98800,129388.95966027863,107062.84501061616,83942.25053078553,115592.35668789846
97,IBM,239,741,980,239,773104,10000,100,100.0,41523.51006357724,80,68,98000,133211.04033968598,83030.57324840783,50881.10403397045,102791.93205944827
98,IBM,245,745,990,245,807132,10000,100,100.0,47342.83814897455,77,78,93900,112124.84076432139,78840.76433121055,69636.09341825996,94934.18259023398
