,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,IBM,3,7,10,3,80945,78500,100,785.0,78509.62377314006,2,9,2000,125.0,0,0,0
1,IBM,3,17,20,3,16884,10444,100,104.44,10823.942719730181,0,0,0,0.0,0,0,0
2,IBM,5,25,30,5,33566,13213,100,132.13,15297.443446537072,0,0,0,0.0,0,0,0
3,IBM,8,32,40,8,132818,98678,100,986.78,99514.62992947319,0,0,0,0.0,0,0,0
4,IBM,11,39,50,11,49103,13213,100,132.13,16142.807035952575,0,0,0,0.0,0,0,0
5,IBM,16,44,60,16,198544,78500,100,785.0,111356.2500446203,18,19,17000,13426.0,6184.375,2762.5,6375.0
6,IBM,14,56,70,14,768176,98678,100,986.78,259321.68133035078,68,65,90000,146050.0,130375.0,121562.5,134350.0
7,IBM,14,66,80,14,126791,78500,100,785.0,79145.17575316894,9,17,8500,6928.5,0,0,0
8,IBM,26,64,90,26,321669,78500,100,785.0,137953.00210216522,13,40,11237,9975.625,6674.0,2836.75,6943.75
9,IBM,21,79,100,21,240287,98678,100,986.78,126849.83357103785,22,21,27300,44028.0,36475.0,36475.0,36475.0
10,IBM,21,89,110,21,525745,98678,100,986.78,199820.8265046464,0,0,0,0.0,0,0,0
11,IBM,19,101,120,19,400532,98678,100,986.78,162395.95473410044,24,26,36000,50350.0,0,0,0
12,IBM,20,110,130,20,859973,98678,100,986.78,273212.07113705645,29,51,51100,66950.0,0,0,0
13,IBM,30,110,140,30,487686,98678,100,986.78,180943.7114574585,44,40,54600,88056.0,86780.0,86780.0,86780.0
14,IBM,33,117,150,33,502753,98678,100,986.78,180692.84106184173,44,40,54600,88056.0,12006.25,8000.0,25275.0
15,IBM,37,123,160,37,509571,98678,100,986.78,180410.94094594152,44,40,54600,88056.0,86780.0,86780.0,86780.0
16,IBM,32,138,170,32,417937,98678,100,986.78,162241.0332468331,24,26,36000,50350.0,0,0,0
17,IBM,48,132,180,48,376664,98678,100,986.78,149569.89053950665,34,29,41374,66965.0,4621.875,9687.5,13762.5
18,IBM,41,149,190,41,1045456,98678,100,986.78,289065.65023883415,88,80,109200,191250.0,0,0,0
19,IBM,38,162,200,38,519607,98678,100,986.78,170872.85272681556,39,36,47400,85146.0,24162.5,21925.25,24337.5
20,IBM,48,162,210,48,614935,98678,100,986.78,188086.78814579188,52,53,63200,99852.75,0,0,0
21,IBM,41,179,220,41,407267,98678,100,986.78,143839.77567766156,0,0,0,0.0,0,0,0
22,IBM,42,188,230,42,905887,98678,100,986.78,247138.77001191053,101,87,124122,181020.0,98510.75,62982.0,133250.0
23,IBM,42,198,240,42,684169,98678,100,986.78,207072.6643403228,44,40,54600,95625.0,0,0,0
24,IBM,53,197,250,53,1075516,98678,100,986.78,277814.8788276107,132,116,163800,228110.0,85850.0,38712.5,112537.5
25,IBM,50,210,260,50,931565,98678,100,986.78,252126.56625393525,91,79,110600,185967.0,3468.75,525.0,12525.0
26,IBM,76,194,270,76,907347,98678,100,986.78,253832.51230880572,88,80,109200,176112.0,105594.5,76975.0,127525.0
27,IBM,58,222,280,58,1507274,98678,100,986.78,330992.5884759355,176,154,218400,322290.0,235492.0,203391.0,282765.0
28,IBM,60,230,290,60,557380,98678,100,986.78,165623.23735514894,24,26,36000,50350.0,36475.0,22675.0,39975.0
29,IBM,68,232,300,68,1827708,98678,100,986.78,372599.02916942764,176,160,218400,360750.0,96475.0,39125.0,147200.0
30,IBM,62,248,310,62,765622,98678,100,986.78,191966.05946885506,52,53,63200,100085.75,41458.0,36428.5,44875.0
31,IBM,62,258,320,62,985996,98678,100,986.78,257917.27111226963,29,48,51100,64675.0,0,0,0
32,IBM,68,262,330,68,1195753,98678,100,986.78,282435.0418821999,116,96,137622,238360.25,150067.25,89016.5,182538.5
33,IBM,80,260,340,80,1296343,98678,100,986.78,295750.5151728396,132,118,163800,251580.0,197389.5,169729.0,226495.0
34,IBM,81,269,350,81,1083172,98678,100,986.78,273274.25745942484,88,80,109200,184000.0,83386.75,40375.0,111312.5
35,IBM,72,288,360,72,1413813,98678,100,986.78,317786.7641375267,110,100,136500,235437.5,80225.0,29737.5,96162.5
