,symbol,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,IBM,2,8,10,2,9500,3000,100,30.0,4210.70065428546,0,0,0,0.0,0,0,0
1,IBM,6,14,20,6,11300,3000,100,30.0,4350.861983561418,1,1,1500,937.5,0,0,0
2,IBM,7,23,30,7,18030,5000,100,50.0,6235.089895101753,1,1,2000,3750.0,0,0,0
3,IBM,12,28,40,12,32487,5000,100,50.0,9570.340171592648,3,4,3498,4062.25,1498.0,1058.75,1498.0
4,IBM,10,40,50,10,29989,3430,100,34.3,7225.400680931128,1,1,2000,3750.0,0,0,0
5,IBM,22,38,60,22,49969,5000,100,50.0,11357.345596573172,4,4,4000,8925.0,7587.5,6387.5,7662.5
6,IBM,17,53,70,17,51200,3000,100,30.0,9136.337449985087,5,4,5500,4737.5,4150.0,3750.0,4200.0
7,IBM,20,60,80,20,65333,5000,100,50.0,10969.057799100157,6,8,8800,13050.0,8350.0,6825.0,10737.5
8,IBM,28,62,90,28,94459,10000,100,100.0,19413.636779336324,5,13,9000,8560.25,750.0,750.0,2250.0
9,IBM,25,75,100,25,76452,10000,100,100.0,15063.949017438954,3,6,5900,6325.0,4025.0,3625.0,4037.5
10,IBM,22,88,110,22,80815,10000,100,100.0,14856.27870632481,7,7,8000,11762.5,8600.0,7512.5,10412.5
11,IBM,29,91,120,29,96220,10000,100,100.0,17054.89519170376,7,8,9300,11675.0,6648.5,4737.5,7462.5
12,IBM,24,106,130,24,98107,5000,100,50.0,14143.672047951339,8,13,16400,10262.5,7550.0,6262.5,8600.0
13,IBM,29,111,140,29,105143,10000,100,100.0,17296.101439341757,8,11,11000,19791.75,13693.0,10532.5,17368.0
14,IBM,44,106,150,44,135215,5000,100,50.0,17862.899792586868,13,14,17000,19884.0,13498.5,9254.5,15236.0
15,IBM,37,123,160,37,129117,10000,100,100.0,18922.993288589412,9,9,12000,14700.0,3300.0,1725.0,6050.0
16,IBM,37,133,170,37,170350,10000,100,100.0,23154.461643493247,11,12,14500,16725.0,5050.0,1300.0,7125.0
17,IBM,41,139,180,41,167145,10000,100,100.0,21495.37989894573,15,13,18300,31500.0,15500.0,9075.0,18450.0
18,IBM,44,146,190,44,159623,5000,100,50.0,19040.789715765466,12,14,13600,26950.0,6937.5,1525.0,8800.0
19,IBM,55,145,200,55,204713,10000,100,100.0,27662.69236715761,14,13,19600,29800.0,10912.5,6050.0,16850.0
20,IBM,51,159,210,51,141755,5000,100,50.0,15539.773775702142,18,16,21500,32362.5,22006.25,15912.5,26112.5
21,IBM,40,180,220,40,144456,5000,100,50.0,16413.426637969293,15,15,21300,34525.0,27375.0,24347.5,31275.0
22,IBM,47,183,230,47,155533,5000,100,50.0,16740.109109560784,21,18,24000,36125.0,6975.0,2975.0,8437.5
23,IBM,63,177,240,63,179294,5000,100,50.0,19744.5391437734,14,11,18100,24900.0,19775.0,18512.5,22587.5
24,IBM,75,175,250,75,220795,10000,100,100.0,23829.154349242024,23,18,25800,31387.5,14987.5,18850.0,26125.0
25,IBM,65,195,260,65,212501,10000,100,100.0,25114.869360599907,27,19,29100,48157.5,17562.5,14737.5,21387.5
26,IBM,79,191,270,79,222972,10000,100,100.0,23057.02643447329,25,25,30600,46731.0,30325.0,25187.5,37262.5
27,IBM,63,217,280,63,230940,10000,100,100.0,27680.35281567054,17,14,19000,28815.5,28127.5,22339.5,28127.5
28,IBM,75,215,290,75,241233,10000,100,100.0,25440.290898494066,24,22,31000,52475.0,48762.5,46025.0,51800.0
29,IBM,76,224,300,76,208468,5000,100,50.0,19733.28284903452,21,22,27000,31965.0,24558.0,20821.0,26917.0
30,IBM,70,240,310,70,277096,10000,100,100.0,31311.447427418618,17,16,18500,31162.5,25037.5,23687.5,28912.5
31,IBM,86,234,320,86,262627,10000,100,100.0,25793.61070110193,23,22,27800,38637.5,25550.0,26837.5,34737.5
32,IBM,73,257,330,73,268052,10000,100,100.0,25594.511521027314,23,19,30300,45537.5,27922.0,23012.5,29962.5
33,IBM,86,254,340,86,266719,5000,100,50.0,23160.886835352398,20,27,27300,51106.0,40078.5,28231.5,42962.5
34,IBM,76,274,350,76,263184,10000,100,100.0,25734.975267134025,21,15,24500,48550.0,27550.0,21100.0,31487.5
35,IBM,81,279,360,81,275926,5000,100,50.0,23368.635989291288,24,23,31500,43231.0,40484.5,35125.5,42153.0
36,IBM,92,278,370,92,286501,10000,100,100.0,24780.149051206292,28,29,39300,68837.5,51075.0,38875.0,61150.0
37,IBM,97,283,380,97,362300,10000,100,100.0,34315.16551031045,24,19,28000,41825.0,23762.5,17450.0,31337.5
38,IBM,111,279,390,111,320495,10000,100,100.0,29139.023267776152,34,27,41900,70430.0,39322.0,23325.0,51350.0
39,IBM,103,297,400,103,362863,10000,100,100.0,33517.4180837367,28,21,32700,55837.5,24525.0,16887.5,30525.0
40,IBM,101,309,410,101,305429,5000,100,50.0,23135.400904241968,33,32,41600,61900.0,42087.5,33337.5,51837.5
41,IBM,109,311,420,109,338635,10000,100,100.0,28873.370447524827,32,27,38600,67437.5,52937.5,43312.5,62250.0
42,IBM,114,316,430,114,367219,10000,100,100.0,31976.66832238781,31,33,42800,63205.0,40162.5,26237.5,45200.0
43,IBM,109,331,440,109,399355,10000,100,100.0,34990.81792413547,30,26,38000,67950.0,56337.5,32825.0,61637.5
44,IBM,96,354,450,96,374808,10000,100,100.0,31044.079628811676,31,23,40300,68737.5,41737.5,34687.5,46812.5
45,IBM,116,344,460,116,384377,10000,100,100.0,33026.365240516556,30,25,39000,53215.5,41462.5,41084.5,49315.5
46,IBM,112,358,470,112,415578,10000,100,100.0,34452.8128604908,38,31,49400,81037.5,54784.5,44625.0,61350.0
47,IBM,121,359,480,121,426528,10000,100,100.0,34750.94919566946,38,33,44300,66243.5,39737.5,25162.5,48800.0
48,IBM,124,366,490,124,418297,10000,100,100.0,31804.570096135554,42,40,50900,75409.0,56812.5,44593.5,67568.5
49,IBM,140,360,500,140,417721,10000,100,100.0,33527.54248375505,41,34,50800,80131.0,67851.0,57704.0,75741.5
50,IBM,135,375,510,135,431459,10000,100,100.0,35435.27546104306,43,39,51600,81109.0,54009.5,49237.5,69887.5
51,IBM,134,386,520,134,428278,10000,100,100.0,35625.64955197308,41,36,53500,84084.0,57400.0,38812.5,70300.0
52,IBM,122,408,530,122,455207,10000,100,100.0,32481.437298863486,31,30,43500,76450.0,69237.5,55850.0,74112.5
53,IBM,158,382,540,158,479345,10000,100,100.0,37825.25023050079,49,45,63400,74027.5,56987.5,52741.5,68790.5
54,IBM,148,402,550,148,457088,10000,100,100.0,35417.44471302242,43,44,55700,79013.5,75335.0,65988.5,77897.5
55,IBM,126,434,560,126,425488,5000,100,50.0,29324.021279490302,27,26,32400,58437.5,36837.5,27325.0,40950.0
56,IBM,142,428,570,142,538277,10000,100,100.0,39415.61184353225,43,38,51300,92529.5,57512.5,44050.0,62462.5
57,IBM,146,434,580,146,494261,10000,100,100.0,35344.82738676199,39,37,50500,84750.0,66237.5,43212.5,72862.5
58,IBM,141,449,590,141,434759,10000,100,100.0,32361.63551182171,38,32,44600,75912.5,71662.5,48287.5,73100.0
59,IBM,158,442,600,158,472010,10000,100,100.0,36473.36356850023,38,40,50300,76015.5,48875.0,31687.5,57300.0
60,IBM,154,456,610,154,471682,10000,100,100.0,35440.632923242214,38,40,46300,75440.5,32787.5,19325.0,38000.0
61,IBM,163,457,620,163,516178,10000,100,100.0,35186.21212918492,44,39,54800,92300.0,58066.0,49850.0,70812.5
62,IBM,169,461,630,169,524862,10000,100,100.0,39310.31666115143,51,39,56100,96937.5,78407.0,57120.5,87137.5
63,IBM,156,484,640,156,541339,10000,100,100.0,39661.88388112698,44,42,56900,90112.5,52261.0,34650.0,64450.0
64,IBM,159,491,650,159,514560,10000,100,100.0,34429.28735829425,41,35,44900,79637.5,66987.5,62075.0,73087.5
65,IBM,152,508,660,152,586186,10000,100,100.0,44319.42152149552,50,53,60500,101059.0,78757.0,55287.5,84637.5
66,IBM,160,510,670,160,562818,10000,100,100.0,39126.314342140635,49,39,55400,91475.0,64137.5,46787.5,75462.5
67,IBM,173,507,680,173,620084,10000,100,100.0,42830.73524935102,49,42,59100,100393.5,96371.5,77179.5,99117.5
68,IBM,160,530,690,160,573080,10000,100,100.0,38280.9332174648,49,44,61100,101396.5,61332.0,38762.5,70050.0
69,IBM,170,530,700,170,539929,10000,100,100.0,34485.82481252261,48,41,58300,89200.0,61987.5,48450.0,72000.0
70,IBM,146,564,710,146,535641,10000,100,100.0,36951.97270782712,40,35,49400,89837.5,62987.5,47475.0,76512.5
