,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,800.0,10.0,10.0,50.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,18746.01106872718,14289.241489871813,11878.447771470488,17251.232963011396
1,800.0,10.0,10.0,100.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,38.0,38.0,380.0,39477.52665776614,36145.665179721545,34661.00738756037,38876.40295474802
2,800.0,10.0,10.0,150.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,44.0,44.0,440.0,63913.91598327388,56496.07384492988,46772.084416308455,62078.111413265266
3,800.0,10.0,10.0,200.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,72872.03789125063,60315.29504227627,53485.882514127064,70746.59068548284
4,800.0,10.0,10.0,300.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,105465.43163413496,72994.37423566419,49411.71554363018,92180.13134774586
5,800.0,10.0,10.0,350.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,37.0,37.0,370.0,126150.38402696411,106607.06710082064,109350.2376058572,124948.54865511654
6,800.0,10.0,10.0,400.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,43.0,43.0,430.0,179031.3579379198,150532.07768756239,137654.5183622126,173135.85208031267
7,800.0,10.0,10.0,450.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,190796.17097105604,180300.52571852767,169614.75110559812,189792.14223435576
8,800.0,10.0,10.0,500.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,38.0,38.0,380.0,175984.49476537257,129681.42210130778,86712.86549557935,152659.12852360247
9,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,34.0,34.0,340.0,87232.08225729881,60201.372278857714,46810.59056376801,77504.81696688064
10,800.0,10.0,10.0,50.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,40.0,40.0,400.0,20332.534517168824,18930.095648736744,16191.604184681812,20009.51736788178
11,800.0,10.0,10.0,100.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,36764.89673501908,32635.19698241066,32095.161543664024,36443.67148152399
12,800.0,10.0,10.0,150.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,47.0,47.0,470.0,63380.55999669121,55609.020815824944,49441.793662126984,61739.114844332646
13,800.0,10.0,10.0,200.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,35.0,35.0,350.0,67350.46689444562,54705.35302805097,46644.9014703897,65544.96197331048
14,800.0,10.0,10.0,300.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,44.0,44.0,440.0,125216.41828822123,121201.13500177412,114769.74881662581,124872.02322483037
15,800.0,10.0,10.0,350.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,42.0,42.0,420.0,161073.02003114967,88752.47361769868,46857.66898298774,117534.56754374738
16,800.0,10.0,10.0,400.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,36.0,36.0,360.0,161249.22523598597,143705.43367787334,120825.15775454041,156959.83693705333
17,800.0,10.0,10.0,450.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,48.0,48.0,480.0,233461.67679800862,109366.90343283801,60673.19497526641,158150.99594342144
18,800.0,10.0,10.0,500.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,42.0,42.0,420.0,210419.55914642825,185986.08875713724,169519.78320576827,205990.09115718323
19,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,47.0,47.0,470.0,122521.53984178713,105613.14548034678,89089.06532728432,118494.24913507816
20,800.0,10.0,10.0,50.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,41.0,41.0,410.0,21032.301724866324,16841.944669577002,12182.69494890676,19513.930932897187
21,800.0,10.0,10.0,100.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,39.0,39.0,390.0,39195.53731977547,36710.18058651488,34889.982625968325,38958.147378939524
