,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10039,10039,1003900,251571281.6,250538317.9,250554737.3,251506455.3
1,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20007,20007,2000700,500682861.5,437061207,387284769,490103858.9
2,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29988,29988,2998800,752690340.8,630471841.4,533803134.5,727858819.1
3,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,40023,40023,4002300,1000777155,958856810.1,928007329.2,998430124.7
4,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,49781,49781,4978100,1244617306,1244240129,1244281877,1244612891
5,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59824,59824,5982400,1495504572,1375398335,1275780453,1483638052
6,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,70001,70001,7000100,1749876072,1497603059,1294615828,1706138973
7,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,79917,79917,7991700,1996633684,1900300483,1817579691,1990711319
8,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89838,89838,8983800,2243138302,2242634904,2242709310,2243135415
9,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99995,99995,9999500,2498261671,2353672916,2225370875,2487580212
10,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110068,110068,11006800,2752212707,2468471236,2228563883,2716838547
11,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120062,120062,12006200,3009413403,2929180230,2856386711,3006518991
12,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,130238,130238,13023800,3252934538,3225178993,3205743111,3252588082
13,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,140057,140057,14005700,3496967461,3282879574,3086758164,3480073375
14,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,149995,149995,14999500,3750273192,3147149925,2663598776,3633786882
15,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,159884,159884,15988400,3997223218,3719595483,3466895370,3973041426
16,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,170128,170128,17012800,4258200719,4092272253,3937444042,4249923725
17,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,180196,180196,18019600,4499951342,4461824049,4429585784,4499480419
18,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189937,189937,18993700,4761159551,4447172223,4168320367,4735742744
19,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200015,200015,20001500,4998795150,4776207907,4580316968,4986757675
20,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,9964,9964,996400,248736215,159929159.9,107152997.6,210385720.1
21,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20008,20008,2000800,501637430.4,380248865.5,294023594,466021672.3
22,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,30009,30009,3000900,753624946.9,613072134.7,504069909.4,720914519.6
23,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,39980,39980,3998000,1000632466,948796563.5,904701302.9,996937538.7
24,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,49953,49953,4995300,1248047282,1176365592,1116893229,1242747352
25,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,59934,59934,5993400,1492618878,1279046807,1105245106,1454919900
26,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69890,69890,6989000,1743973224,1685131229,1637066842,1741434061
27,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,79898,79898,7989800,1991947694,1991193272,1991260906,1991942241
28,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,90133,90133,9013300,2255094983,2126669378,2009938054,2245491365
29,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,100116,100116,10011600,2503184008,2485801620,2475429970,2502976813
30,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,110142,110142,11014200,2749524095,2703485750,2663812530,2748433995
31,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,119707,119707,11970700,2994222012,2948567349,2909941467,2993251389
32,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,130001,130001,13000100,3250715560,3179896102,3115279027,3248610536
33,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139860,139860,13986000,3494371179,3404563842,3326482416,3491402393
34,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,149834,149834,14983400,3747654152,3634992684,3539064239,3743485739
35,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,159979,159979,15997900,3996757730,3790533568,3599447312,3983124351
36,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,169800,169800,16980000,4239676380,4035256951,3852334066,4227337837
37,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,180310,180310,18031000,4507025129,4274271790,4053644734,4491527397
38,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,190057,190057,19005700,4747465362,4651654154,4569385997,4744996892
39,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200451,200451,20045100,5001844564,4798846390,4612888536,4991442344
40,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,9976,9976,997600,248054764.8,137263691.5,80030716.79,190154386.6
41,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,20069,20069,2006900,504074771,503560002.4,503521639.1,504056692.6
42,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29929,29929,2992900,748159742.9,399255264.6,229174224.8,565350200.5
43,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,39977,39977,3997700,998262441.4,940431211.5,899426016.1,994243888
44,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,49972,49972,4997200,1250245008,1201170736,1164414198,1247812171
45,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,60011,60011,6001100,1500869040,1466572592,1440744569,1499782956
46,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,69847,69847,6984700,1746652978,1610481552,1492144811,1733138637
47,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80033,80033,8003300,2001215875,1640502924,1357649600,1921925825
48,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,90252,90252,9025200,2253488765,2128733943,2018270645,2244671335
49,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99844,99844,9984400,2497670140,2490746010,2490376318,2497625562
50,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,109990,109990,10999000,2749880820,2471352669,2234228069,2715016224
51,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120044,120044,12004400,3001517620,2917481459,2839338011,2998249930
52,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,129495,129495,12949500,3231458626,2934396021,2673578746,3197508231
53,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,139857,139857,13985700,3503371355,3490054903,3482318246,3503271416
54,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,150288,150288,15028800,3755353820,3264945261,2853624248,3676764495
55,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,160124,160124,16012400,4010342762,3583372977,3207198988,3953792702
56,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,170574,170574,17057400,4260163035,3902979082,3583043332,4222569825
57,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179925,179925,17992500,4494324201,4172486421,3885585898,4465692497
58,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189655,189655,18965500,4738532529,4125325428,3610392845,4642154773
59,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200052,200052,20005200,5000980466,4945795802,4897169561,5000131593
60,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,10046,10046,1004600,251522343.4,250540942.1,250622927.4,251465704.6
61,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,19828,19828,1982800,495330011.7,495062861.8,495025386.2,495320736.2
62,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29976,29976,2997600,751709205.2,595959917.8,481290789.5,712464857.7
63,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,40047,40047,4004700,999279932,855552664,741510651.6,973731817.4
64,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50165,50165,5016500,1258431048,1180396701,1115577575,1252225665
65,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,60039,60039,6003900,1497742165,1335569593,1200886317,1475996166
66,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,70209,70209,7020900,1755831712,1419587216,1158810067,1678005189
67,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,80083,80083,8008300,2001540636,1923508023,1855748519,1997602957
68,18000000,100,100000,250,180,180,360,180,36000000,100000,100000,1,1897366.596,89858,89858,8985800,2243935731,2154147349,2081458774,2239507450
69,20000000,100,100000,250,200,200,400,200,40000000,100000,100000,1,2000000,99918,99918,9991800,2496804220,2470702487,2452278598,2496397461
70,22000000,100,100000,250,220,220,440,220,44000000,100000,100000,1,2097617.696,109796,109796,10979600,2744536457,2644928369,2556434236,2739929575
71,24000000,100,100000,250,240,240,480,240,48000000,100000,100000,1,2190890.23,120382,120382,12038200,3010392529,2898245443,2797304286,3004962322
72,26000000,100,100000,250,260,260,520,260,52000000,100000,100000,1,2280350.85,130045,130045,13004500,3248891619,3069222284,2914357394,3236658348
73,28000000,100,100000,250,280,280,560,280,56000000,100000,100000,1,2366431.913,140055,140055,14005500,3502322302,3110175341,2773628969,3448523741
74,30000000,100,100000,250,300,300,600,300,60000000,100000,100000,1,2449489.743,150181,150181,15018100,3755278524,3645022670,3547044038,3751105749
75,32000000,100,100000,250,320,320,640,320,64000000,100000,100000,1,2529822.128,160093,160093,16009300,4001573276,3949597048,3905780064,4000651260
76,34000000,100,100000,250,340,340,680,340,68000000,100000,100000,1,2607680.962,169864,169864,16986400,4245413042,4207980236,4183190294,4244996879
77,36000000,100,100000,250,360,360,720,360,72000000,100000,100000,1,2683281.573,179885,179885,17988500,4488871774,4408746626,4333360657,4486923940
78,38000000,100,100000,250,380,380,760,380,76000000,100000,100000,1,2756809.75,189638,189638,18963800,4738964852,4661209775,4593733977,4737329830
79,40000000,100,100000,250,400,400,800,400,80000000,100000,100000,1,2828427.125,200190,200190,20019000,5007248557,4769632853,4556138883,4993217654
80,2000000,100,100000,250,20,20,40,20,4000000,100000,100000,1,632455.532,9962,9962,996200,249041481.5,107397167.9,51097464.16,158490317.7
81,4000000,100,100000,250,40,40,80,40,8000000,100000,100000,1,894427.191,19816,19816,1981600,493715694.9,455165257,424681062.5,489451007.3
82,6000000,100,100000,250,60,60,120,60,12000000,100000,100000,1,1095445.115,29933,29933,2993300,749522574.6,732122400,720698551,748822410.5
83,8000000,100,100000,250,80,80,160,80,16000000,100000,100000,1,1264911.064,39909,39909,3990900,1002872580,686381017.4,482435466.8,886526025.5
84,10000000,100,100000,250,100,100,200,100,20000000,100000,100000,1,1414213.562,50006,50006,5000600,1250497173,1009391585,829099458.5,1195145748
85,12000000,100,100000,250,120,120,240,120,24000000,100000,100000,1,1549193.338,60043,60043,6004300,1504389590,1368799841,1251432131,1488977317
86,14000000,100,100000,250,140,140,280,140,28000000,100000,100000,1,1673320.053,70038,70038,7003800,1754956539,1475087044,1248093671,1700105560
87,16000000,100,100000,250,160,160,320,160,32000000,100000,100000,1,1788854.382,79788,79788,7978800,1993207384,1922093399,1860364678,1989819965
