,numOfTraders,minNumOfUnitsPerTrader,maxNumOfUnitsPerTrader,maxNoiseSize,Total buyers,Total sellers,Total traders,Min total traders,Total units,Max units per trader,Min units per trader,Normalized max units per trader,stddev,Optimal buyers,Optimal sellers,Optimal units,Optimal gain,MUDA-lottery gain,MUDA-Vickrey traders gain,MUDA-Vickrey total gain
0,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,41.0,41.0,410.0,95371.57585688884,74283.42084298495,62864.96303118874,88209.27200726954
1,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,99640.35414841824,0.0,0.0,0.0
2,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,37.0,37.0,370.0,95206.67044766532,0.0,0.0,0.0
3,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,108417.44636406886,0.0,0.0,0.0
4,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,41.0,41.0,410.0,110861.65721003499,0.0,0.0,0.0
5,800.0,10.0,10.0,250.0,80.0,80.0,160.0,80.0,1600.0,10.0,10.0,1.0,126.49110640673517,42.0,42.0,420.0,108318.54737988333,103662.59703687733,78627.1626720152,106906.8015442394
6,800.0,10.0,100.0,250.0,8.0,8.0,16.0,8.0,1600.0,100.0,100.0,1.0,400.0,44.0,44.0,440.0,109289.41262581179,70285.05453590635,47536.864236765956,90146.64650429368
7,800.0,10.0,1000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,49.0,49.0,490.0,126956.8737363895,0.0,0.0,0.0
8,800.0,10.0,10000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,39.0,39.0,390.0,98720.29143882127,0.0,0.0,0.0
9,800.0,10.0,100000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,35.0,35.0,350.0,86226.54105382266,0.0,0.0,0.0
10,800.0,10.0,1000000.0,250.0,1.0,1.0,2.0,1.0,1600.0,800.0,800.0,1.0,1131.370849898476,48.0,48.0,480.0,127236.3727423707,0.0,0.0,0.0
